transaction_amount,transaction_frequency,account_age,location_change,hour_of_day,distance_from_home_km,num_declines_last_hour,merchant_risk_score,is_online,fraud
10.51,3,237.9,0,2,21.01,1,0.254,1,0
38.67,5,1654.1,0,6,8.17,1,0.58,0,0
76.0,6,212.4,0,16,34.14,1,0.385,0,0
201.87,7,621.3,0,16,1.46,0,0.406,0,0
35.95,3,324.3,0,6,22.9,0,0.192,0,0
61.63,2,1028.0,0,3,46.54,0,0.0,1,0
64.58,5,1063.9,1,18,,0,0.148,0,0
123.03,2,519.3,0,23,,0,0.275,1,0
135.67,4,1238.8,0,19,,0,0.578,0,0
133.88,3,2267.4,0,9,35.08,0,0.581,1,0
9.21,1,2048.3,0,8,50.39,0,0.228,1,0
134.65,5,388.7,0,15,66.28,1,0.0,1,0
122.84,4,220.7,0,23,18.03,0,0.049,0,0
181.43,1,131.7,0,20,4.26,0,0.773,1,0
33.79,5,2088.1,0,3,9.16,0,0.282,1,0
111.41,2,506.5,0,5,42.52,0,0.267,0,0
119.84,2,488.1,0,13,29.65,0,0.605,0,0
4.94,4,196.8,0,18,45.67,0,0.43,1,0
147.03,1,1631.9,0,11,82.25,0,0.345,1,0
44.37,5,239.0,0,9,5.01,0,0.854,1,0
305.08,3,115.5,0,21,17.56,2,0.658,0,1
20.54,5,198.5,0,12,64.14,0,0.214,0,0
31.19,2,237.5,0,0,28.08,0,0.325,0,0
101.77,3,1031.2,1,0,42.5,0,0.086,0,0
59.36,4,396.7,0,16,23.65,1,0.311,0,0
57.64,3,3171.6,0,23,9.32,0,0.282,0,0
3.29,2,447.6,1,9,79.35,0,0.062,0,0
55.65,2,1149.4,0,10,9.82,0,0.0,0,0
18.76,4,366.5,0,0,61.24,0,0.588,1,0
33.56,2,1482.9,0,21,9.96,1,0.0,1,0
128.03,5,124.5,0,16,2.39,0,0.797,1,0
124.87,4,147.1,0,16,37.38,0,0.465,0,0
56.43,7,611.3,0,13,20.16,0,0.552,0,0
51.35,2,243.0,0,11,47.33,0,0.427,0,0
130.4,7,442.1,0,0,39.72,1,0.155,0,0
119.25,11,468.0,0,16,53.21,0,0.22,1,0
118.52,4,740.1,0,13,15.88,0,0.032,0,0
144.51,2,836.0,0,12,16.54,1,0.478,1,0
121.36,2,259.8,0,18,1.93,0,0.291,1,0
77.48,3,1153.1,0,22,40.16,0,0.536,0,0
141.38,3,732.7,0,8,6.6,1,0.156,0,0
51.15,5,412.7,1,9,13.11,0,0.683,0,0
198.04,6,531.7,0,18,23.82,0,0.092,1,0
77.62,5,1243.6,0,11,26.46,1,0.152,1,0
138.96,3,524.1,1,22,79.71,0,0.502,0,0
34.57,5,47.0,0,0,19.19,0,0.521,0,0
101.15,2,99.4,0,17,17.57,0,0.329,0,0
70.45,2,172.9,0,22,21.39,0,0.481,0,0
65.33,4,99.7,0,10,50.42,0,0.223,1,0
46.06,2,39.2,0,19,37.4,1,0.507,1,0
74.57,9,72.7,0,9,20.6,0,0.266,1,0
52.6,4,492.4,1,1,9.65,0,0.197,0,0
210.39,5,0.9,0,9,35.63,0,0.321,1,0
31.97,3,411.1,0,9,45.93,0,0.116,1,0
50.11,4,1987.7,0,6,51.6,0,0.902,0,0
29.9,3,205.3,0,19,6.36,0,0.288,1,0
82.91,3,1657.6,0,21,51.57,1,0.17,0,0
62.29,4,1435.8,0,20,2.03,0,0.0,0,0
50.37,3,529.1,0,9,41.48,0,0.193,1,0
578.59,2,96.6,0,5,117.92,0,0.439,1,1
189.88,5,172.5,0,6,32.31,0,0.226,1,0
53.5,2,699.5,0,22,31.41,0,0.229,0,0
33.81,4,189.9,0,17,137.83,0,0.535,1,1
111.59,4,1591.7,0,10,5.16,0,0.362,1,0
82.57,3,242.0,0,15,47.86,0,0.0,1,0
63.94,2,1721.8,0,21,26.68,0,0.0,0,0
125.65,6,327.0,0,4,11.55,0,0.457,1,0
137.02,6,501.3,0,20,8.27,0,0.565,0,0
182.08,5,1444.0,0,5,0.06,0,0.021,1,0
15.02,2,162.0,1,16,21.07,0,0.506,1,0
98.01,2,422.2,0,18,11.24,0,0.165,0,0
116.78,4,481.1,1,21,28.66,0,0.316,0,0
4.23,6,2734.1,1,6,19.85,1,0.523,1,0
75.37,5,548.7,0,17,36.21,0,0.0,0,0
8.96,5,985.9,0,9,64.54,0,0.798,1,0
37.38,8,821.3,0,8,75.97,1,0.758,0,0
404.51,1,79.2,0,10,277.28,1,0.275,0,1
43.1,4,271.4,1,21,1.27,0,0.372,0,0
45.65,1,801.1,0,9,53.13,1,0.271,1,0
114.17,2,94.4,1,6,6.07,0,0.855,0,1
359.07,3,175.8,1,18,160.79,1,0.978,0,1
17.4,8,418.6,0,20,28.47,0,0.37,0,0
160.17,4,36.9,0,2,12.48,2,0.051,0,0
83.54,3,136.2,1,18,9.96,1,0.313,0,0
186.06,5,472.8,0,11,47.18,0,0.233,1,0
89.73,6,1801.1,0,14,56.24,0,0.241,0,0
25.01,5,710.0,0,9,45.58,0,0.0,0,0
95.16,6,1955.9,0,3,5.1,0,0.648,1,0
200.83,4,595.8,0,11,40.28,0,0.478,1,0
40.94,2,1060.5,0,12,80.75,0,0.382,0,0
146.58,1,2526.2,0,2,67.47,1,0.465,0,0
5.41,3,779.9,0,18,58.6,0,0.228,0,0
52.18,2,108.8,0,21,25.4,0,0.182,0,0
156.43,2,432.4,0,22,94.5,1,0.266,1,1
77.17,4,1.2,0,17,37.85,0,0.626,1,0
45.2,3,5.0,1,18,16.32,0,0.64,1,0
243.07,1,231.5,0,1,212.71,0,0.508,1,1
128.34,2,693.5,0,19,25.71,0,0.297,0,0
92.89,3,136.8,0,6,25.77,0,0.305,0,0
101.91,4,305.4,0,4,62.01,0,0.198,1,0
66.51,0,1848.8,0,0,119.62,0,0.154,0,0
71.8,4,85.1,0,13,16.03,0,0.0,0,0
81.57,3,1304.7,1,9,5.34,0,0.0,0,0
196.21,2,345.9,1,2,11.91,2,0.748,1,1
315.17,3,640.4,0,23,154.17,2,0.207,1,1
43.57,2,42.0,0,1,9.2,1,0.404,1,0
41.41,6,2186.4,0,3,57.89,0,0.012,1,0
208.1,3,75.1,1,5,125.72,0,0.602,1,1
130.45,4,1174.2,1,5,18.07,1,0.295,0,0
92.94,3,702.4,0,17,30.52,1,0.566,0,0
85.64,4,9.2,0,0,91.4,0,0.466,0,0
8.78,4,2394.2,0,9,3.95,0,0.348,1,0
95.78,3,299.2,0,14,16.02,0,0.224,0,0
71.89,3,208.8,0,18,26.0,0,0.286,1,0
22.29,4,26.9,0,19,68.49,4,0.659,0,1
84.97,3,206.5,0,2,27.05,0,0.439,0,0
130.8,4,746.3,0,20,8.17,1,0.178,0,0
152.33,3,380.4,0,23,5.91,0,0.352,0,0
91.58,3,171.0,0,15,14.6,0,0.131,1,0
10.37,9,207.0,0,3,5.0,0,0.28,1,0
581.5,3,212.4,0,10,10.2,1,0.422,1,1
58.18,4,814.8,0,17,53.94,0,0.454,1,0
153.86,2,1258.6,0,4,36.95,0,0.331,0,0
165.22,2,29.2,0,20,207.26,1,0.5,1,1
134.55,2,45.4,0,18,16.36,1,0.192,1,0
18.68,3,960.2,0,15,34.8,0,0.15,1,0
115.74,2,237.7,1,3,41.18,0,0.335,1,0
121.99,4,190.6,1,11,,1,0.68,0,1
61.07,2,49.0,1,9,32.07,1,0.524,1,0
30.13,1,1142.5,0,12,57.18,0,0.351,0,0
76.77,3,867.3,0,6,2.49,0,0.379,0,0
0.01,3,664.7,0,3,2.75,0,0.195,1,0
308.21,3,649.1,0,22,12.26,1,0.391,1,1
38.9,3,543.7,0,22,11.95,1,0.205,0,0
7.23,2,268.1,1,0,0.02,0,0.664,0,0
130.41,1,737.2,0,8,30.58,2,0.356,1,0
6.52,4,3121.4,0,23,5.25,0,0.361,0,0
141.9,4,199.1,0,12,43.13,0,0.413,1,0
1.71,5,583.3,0,8,11.0,1,0.416,0,0
147.17,6,283.4,0,22,198.71,0,0.872,1,1
46.49,2,91.8,0,2,38.35,0,1.0,1,0
26.52,6,691.8,0,13,16.16,0,0.434,1,0
74.26,5,1851.5,0,16,29.92,1,0.237,0,0
313.38,3,45.7,1,21,19.69,0,0.435,1,1
121.7,2,153.3,0,16,47.97,0,0.224,1,0
25.63,4,911.0,0,5,28.43,0,0.819,1,0
86.35,1,124.6,0,10,40.33,1,0.239,1,0
92.39,1,1528.7,1,10,36.03,0,0.563,0,0
86.45,3,729.6,0,11,25.84,0,0.514,0,0
187.34,5,166.7,0,13,19.72,0,0.349,0,0
0.31,2,65.2,1,6,62.5,1,0.681,1,0
68.77,1,298.3,0,13,15.88,1,0.156,1,0
232.03,1,659.5,0,9,,0,0.286,0,0
92.72,7,1.1,0,1,39.19,0,0.086,0,0
31.35,4,3032.9,0,1,58.3,0,0.171,0,0
66.24,3,149.1,0,20,2.17,0,0.105,1,0
172.21,3,176.9,1,13,236.6,0,0.316,1,1
7.29,1,1091.9,1,0,63.99,0,0.277,0,0
94.65,5,107.3,0,13,29.42,0,0.255,0,0
54.91,2,160.3,0,21,4.39,0,0.551,0,0
122.87,2,436.6,1,13,2.18,1,0.128,0,0
15.42,3,192.3,0,8,,0,0.177,1,0
24.38,2,183.3,0,0,46.48,1,0.0,1,0
147.61,5,1050.0,0,5,47.81,0,0.147,1,0
80.85,1,639.9,0,6,67.31,0,0.836,1,0
88.35,3,1007.3,1,18,45.59,0,0.297,1,0
12.6,3,1059.3,0,6,34.59,0,0.0,1,0
41.61,2,561.4,0,0,22.65,0,0.245,1,0
67.18,5,32.1,0,9,18.8,1,0.0,0,0
39.91,4,132.3,0,15,49.36,0,0.109,0,0
40.02,8,1645.5,0,1,41.62,0,0.0,0,0
21.9,3,2361.1,1,21,22.7,0,0.487,1,0
71.52,3,1495.0,0,11,10.05,1,0.659,0,0
194.51,4,352.4,0,3,91.1,1,0.23,0,0
27.67,2,8.8,0,2,16.78,0,0.254,0,0
145.84,4,580.0,0,7,9.0,1,0.0,1,0
154.2,2,1814.7,0,22,23.47,0,0.892,1,0
124.43,4,361.9,0,16,12.95,0,0.192,1,0
39.12,7,281.4,0,14,26.9,0,0.534,1,0
65.06,0,707.2,0,1,60.07,0,0.034,1,0
111.63,1,83.5,0,18,8.48,0,0.1,1,0
26.26,5,425.3,0,10,29.29,0,0.024,1,0
139.32,4,298.8,0,9,11.69,0,0.153,0,0
15.38,4,1307.1,0,12,12.24,0,0.0,0,0
18.08,2,796.0,0,11,36.16,1,0.202,0,0
117.11,5,709.0,0,23,3.15,0,0.17,0,0
163.13,6,1451.4,0,22,7.65,0,0.223,0,0
40.89,4,96.5,0,23,32.63,0,0.102,0,0
62.53,5,439.3,1,14,68.35,0,0.527,0,0
22.43,5,58.7,0,22,0.5,0,0.207,0,0
44.02,3,170.7,1,10,,0,0.0,0,0
44.06,5,1031.0,0,5,102.23,0,0.605,0,0
88.37,4,288.4,0,3,60.56,0,0.589,1,0
109.06,4,425.7,0,21,16.03,0,0.68,1,0
22.22,2,134.7,0,12,42.98,0,0.191,1,0
59.03,7,372.3,0,1,57.72,0,0.532,0,0
6.24,5,2137.4,0,7,33.2,0,0.108,0,0
28.35,0,287.8,0,16,65.85,1,0.703,0,0
116.02,0,253.0,1,21,90.19,1,0.64,1,1
39.19,2,252.7,0,21,42.85,0,0.36,1,0
38.41,3,514.7,0,10,16.16,0,0.125,0,0
16.82,5,516.5,0,6,28.72,1,0.42,0,0
45.65,4,251.0,0,20,46.32,0,0.1,0,0
77.64,5,215.0,0,19,12.62,0,0.639,0,0
5.34,2,551.2,0,20,22.76,1,0.579,0,0
12.47,3,1259.1,1,15,19.65,0,0.181,0,0
93.7,2,608.6,0,11,2.6,0,0.11,0,0
120.61,5,103.2,0,21,14.9,1,0.363,0,0
61.73,1,642.6,0,0,59.06,0,0.219,1,0
59.15,2,483.3,0,23,22.68,0,0.416,0,0
13.48,7,658.0,0,17,1.47,0,0.0,0,0
90.36,4,1319.5,1,2,62.63,0,0.319,0,0
196.22,5,173.8,0,12,23.8,1,0.591,0,0
118.03,4,424.3,0,20,28.04,0,0.219,1,0
39.53,2,612.1,0,11,10.91,0,0.082,0,0
97.4,5,2185.8,0,11,89.55,0,0.074,1,0
41.84,5,38.3,0,18,3.09,0,0.262,1,0
55.2,2,175.9,1,7,18.82,1,0.0,1,0
73.33,4,1038.2,0,18,2.13,0,0.0,1,0
342.63,3,210.1,0,0,39.36,1,0.682,0,1
115.27,2,1148.6,0,9,49.36,1,0.43,0,0
48.45,10,87.6,0,7,29.75,0,0.241,0,0
26.95,2,635.8,0,11,3.19,0,0.381,0,0
37.48,7,666.8,0,20,90.52,0,0.747,1,0
36.67,1,525.0,0,3,66.83,0,0.368,0,0
83.98,3,1521.1,0,1,7.62,1,0.158,0,0
65.49,6,30.9,1,12,10.89,0,0.125,1,0
56.97,4,912.8,1,18,29.87,1,0.356,0,0
171.55,4,146.3,0,2,18.27,0,0.629,0,0
65.78,7,2766.5,0,8,55.56,0,0.652,0,0
66.91,4,209.6,0,15,76.71,0,0.186,0,0
150.72,2,908.0,0,11,23.72,0,0.237,0,0
48.09,2,172.0,0,11,2.95,0,0.34,0,0
140.62,4,1018.4,0,13,1.54,0,0.419,1,0
87.25,4,531.5,0,14,9.94,1,0.202,0,0
69.96,3,108.1,0,8,36.67,0,0.318,0,0
44.76,5,701.4,0,11,52.35,0,0.008,0,0
116.95,6,28.1,0,19,3.47,0,0.174,0,0
30.68,5,72.8,0,19,,0,0.031,1,0
77.76,6,1874.9,0,4,60.71,0,0.094,0,0
73.66,3,1358.9,1,15,55.84,0,0.436,0,0
197.13,7,1219.8,0,4,29.53,0,0.241,0,0
59.63,2,464.3,0,6,0.54,0,0.597,0,0
139.02,5,1501.8,0,5,28.83,1,0.285,0,0
100.85,1,156.7,0,21,7.76,1,0.386,0,1
66.0,1,2471.4,0,18,5.73,0,0.308,1,0
1.29,4,670.6,0,7,16.05,0,0.085,0,0
33.51,3,3425.3,0,10,38.43,0,0.0,0,0
54.88,2,1070.5,0,9,63.74,0,0.0,0,0
123.04,8,1423.3,0,13,49.62,0,0.111,1,0
32.0,1,352.9,0,13,47.46,0,0.319,1,0
110.38,3,1959.0,0,19,1.23,1,0.238,0,0
68.57,3,828.0,1,23,1.91,0,0.011,1,0
159.12,3,165.4,0,20,44.01,0,0.21,0,0
71.62,4,713.0,0,5,49.5,0,0.266,1,0
69.55,3,1624.1,0,20,5.27,0,0.0,1,0
67.74,7,238.8,0,1,91.27,1,0.517,0,0
20.13,6,880.0,0,3,39.89,0,0.401,0,0
38.04,5,72.7,1,10,21.08,0,0.314,1,0
158.01,3,403.9,0,8,43.79,0,0.264,0,0
60.1,1,34.6,0,6,98.15,1,0.083,1,1
4.8,6,49.0,0,21,34.5,0,0.46,1,0
67.43,2,2488.5,0,13,103.15,0,0.133,0,0
105.17,10,4382.8,0,12,8.27,1,0.155,1,0
161.28,6,231.2,0,19,38.75,1,0.168,0,0
17.63,4,2039.8,0,8,6.21,0,0.0,0,0
101.44,2,1240.6,0,4,38.84,0,0.0,1,0
95.61,2,518.3,0,15,22.99,0,0.514,0,0
23.73,3,70.1,0,12,,1,0.18,1,0
55.11,3,771.0,0,9,24.71,0,0.391,0,0
119.74,2,749.9,0,7,3.56,0,0.673,1,0
47.82,4,687.0,0,2,5.32,0,0.0,1,0
3.31,4,3409.5,0,8,31.91,1,0.333,1,0
149.32,4,173.8,1,16,12.39,0,0.5,1,0
118.14,8,728.8,0,12,5.54,1,0.686,0,0
150.7,3,1241.0,0,11,16.7,0,0.351,0,0
77.59,4,14.8,0,7,10.8,0,0.365,1,0
119.07,6,113.7,0,9,74.35,0,0.467,0,0
10.64,4,27.6,0,6,1.84,1,0.211,1,0
27.35,2,379.2,0,22,23.11,0,0.295,0,0
55.3,0,699.8,0,6,78.71,0,0.278,0,0
19.13,3,233.6,0,5,108.06,0,0.067,0,0
102.37,2,1499.3,0,3,19.33,0,0.475,1,0
34.79,5,2121.8,0,12,43.51,0,0.0,0,0
46.64,3,394.3,0,8,234.33,0,0.443,1,1
62.17,7,161.4,0,5,1.09,0,0.231,1,0
122.8,4,568.9,0,8,20.1,1,0.088,0,0
101.92,4,907.9,0,19,25.98,0,0.389,0,0
117.18,3,355.4,1,22,19.94,0,0.361,1,0
54.11,2,69.3,0,6,8.62,1,0.0,1,0
94.39,3,558.2,0,19,30.27,0,0.647,0,0
56.17,3,321.1,0,11,30.43,0,0.307,0,0
165.7,3,368.8,0,0,73.59,0,0.404,1,0
67.6,2,497.4,0,2,2.75,1,0.378,1,0
139.35,5,133.3,0,15,48.38,0,0.179,1,0
64.02,5,435.0,0,15,7.5,0,0.937,0,0
148.69,2,594.5,0,18,7.2,0,0.275,1,0
121.24,1,309.6,1,8,9.42,1,0.179,0,0
468.57,2,31.7,1,11,246.87,2,0.611,1,1
43.94,2,577.4,0,8,14.9,0,0.366,0,0
65.97,4,113.3,0,17,1.13,0,0.513,0,0
30.26,7,64.1,0,16,32.09,1,0.0,0,0
12.61,2,1152.8,0,7,77.6,0,0.142,1,0
9.71,1,422.8,0,15,63.69,0,0.578,0,0
75.6,3,93.3,0,13,14.99,0,0.3,1,0
58.5,4,444.2,0,22,77.94,0,0.178,0,0
171.93,3,293.4,0,5,151.4,0,0.711,0,1
49.07,2,25.6,0,3,15.63,0,0.373,0,0
64.15,4,88.5,0,16,299.47,4,0.421,1,1
172.46,2,328.0,0,2,67.12,0,0.017,1,0
90.64,4,397.5,0,5,18.79,0,0.517,0,0
64.21,5,42.5,0,6,14.77,0,0.227,1,0
248.24,2,2572.3,0,1,7.66,1,0.189,1,0
145.56,2,496.0,1,11,63.14,0,0.608,1,0
35.3,7,273.4,0,8,33.49,0,0.623,0,0
56.57,2,940.3,0,21,11.59,0,0.252,0,0
145.37,0,105.3,1,10,3.15,2,0.953,1,1
136.09,6,285.3,0,17,35.11,0,0.256,0,0
203.67,3,1.7,0,12,157.44,3,0.941,1,1
70.91,5,451.2,0,23,21.91,0,0.222,0,0
19.31,4,1349.1,1,13,40.88,0,0.543,1,0
62.11,4,1375.2,1,4,46.07,1,0.349,1,0
156.23,7,8.2,0,14,63.36,0,0.409,0,0
33.28,8,575.9,0,15,18.22,0,0.558,0,0
141.5,4,1145.6,0,9,23.64,1,0.325,1,0
44.03,3,390.9,1,16,286.21,1,0.59,1,1
150.88,5,267.1,0,4,15.33,0,0.095,1,0
56.16,3,230.7,0,2,43.8,0,0.244,0,0
142.3,7,1626.3,0,17,34.0,0,0.123,1,0
53.59,5,316.3,0,23,9.31,1,0.326,1,0
51.23,3,2808.5,0,5,4.13,0,0.996,0,0
32.63,2,1695.9,0,17,8.37,0,0.162,0,0
181.81,5,1218.4,0,1,51.77,0,0.391,1,0
11.21,4,77.7,0,0,5.65,0,0.625,0,0
292.43,2,4.3,1,2,269.87,1,0.655,1,1
79.26,6,1803.6,0,15,10.3,0,0.357,0,0
142.44,4,1731.3,0,18,77.37,0,0.438,0,0
135.27,3,826.4,1,9,9.98,0,0.409,1,0
68.76,4,730.1,0,0,33.03,0,0.486,1,0
56.73,3,435.4,0,13,29.92,1,0.008,0,0
58.27,2,846.9,0,5,30.22,1,0.031,0,0
235.56,3,221.8,1,5,146.44,2,0.605,1,1
97.01,7,932.6,0,8,44.86,0,0.375,0,0
89.2,3,969.2,0,13,31.76,0,0.15,1,0
29.94,3,69.6,0,9,46.83,0,0.088,0,0
168.64,3,1404.6,0,22,24.92,0,0.298,1,0
51.37,1,39.8,0,1,1.61,0,0.323,0,0
68.32,2,1048.1,0,16,6.33,0,0.439,0,0
78.05,2,289.1,0,18,45.17,0,0.196,1,0
39.45,5,1080.5,0,1,81.55,0,0.344,0,0
104.63,5,191.5,0,3,34.95,0,0.265,0,0
161.89,7,96.1,0,8,5.46,0,0.599,1,0
16.85,4,143.5,0,17,2.41,0,0.748,1,0
106.6,5,479.5,0,4,69.74,0,0.297,0,0
94.51,3,2102.9,0,4,27.66,1,0.319,0,0
99.72,3,4.4,0,6,15.63,1,0.132,0,0
122.51,3,52.7,0,20,41.87,0,0.42,1,0
69.96,1,120.2,0,7,40.29,0,0.426,0,0
193.57,5,841.8,0,10,17.36,1,0.227,0,0
93.5,4,596.0,0,21,19.7,1,0.05,0,0
17.11,5,1536.1,0,12,64.78,2,0.238,1,0
87.03,1,1753.2,0,0,2.82,0,0.424,0,0
40.32,5,1072.0,0,5,29.14,0,0.383,1,0
82.95,2,875.5,1,1,0.36,0,0.391,0,0
108.82,4,15.5,0,6,22.9,2,0.356,0,0
133.59,4,103.1,1,0,62.23,0,0.296,0,1
118.54,3,545.3,0,23,77.31,1,0.539,0,0
60.55,3,88.4,1,23,92.15,0,0.44,1,1
23.09,5,443.7,0,9,8.44,0,0.164,1,0
104.27,5,308.2,0,16,99.31,0,0.401,0,0
23.74,4,723.9,0,22,39.95,1,0.604,1,0
16.86,5,203.6,0,8,29.4,0,0.306,0,0
29.81,0,2233.1,0,16,31.52,0,0.41,0,0
85.01,4,1217.8,0,11,32.4,0,0.317,0,0
9.62,2,199.1,0,6,8.89,0,0.646,1,0
61.57,7,350.2,0,20,12.34,0,0.696,1,0
139.12,1,558.5,0,3,52.76,0,0.26,0,0
57.07,8,901.0,0,13,69.78,0,0.527,0,0
142.43,5,304.6,1,1,21.17,0,0.312,0,0
103.45,2,1758.0,0,21,40.91,0,0.494,0,0
57.64,4,1327.2,0,10,12.5,0,0.032,0,0
120.45,5,1076.7,0,15,14.71,0,0.168,0,0
102.84,4,354.1,1,15,34.58,0,0.124,0,0
101.27,3,182.5,0,23,41.0,1,0.131,1,0
13.3,7,78.9,0,1,,1,0.116,1,0
51.6,3,1006.3,0,0,19.57,0,0.108,0,0
217.17,1,739.2,0,20,29.89,0,0.603,0,0
97.02,1,60.5,0,23,90.47,1,0.424,0,0
37.14,3,425.6,0,9,7.01,0,0.151,0,0
31.13,7,12.8,1,22,12.5,0,0.0,1,0
155.73,6,849.7,0,7,53.0,0,0.309,1,0
23.7,2,100.6,0,16,37.26,0,0.256,0,0
8.4,5,807.5,0,22,25.61,0,0.0,1,0
78.43,4,131.9,1,19,46.81,0,0.433,0,0
25.82,6,82.7,0,5,26.93,0,0.324,0,0
176.32,1,173.1,1,11,77.17,0,0.189,1,0
30.86,5,262.4,0,11,13.96,0,0.0,0,0
198.77,6,477.2,0,17,17.18,0,0.673,1,0
1.67,2,155.4,0,20,18.57,1,0.0,0,0
90.59,3,678.0,0,0,10.59,0,0.454,0,1
77.57,3,99.9,0,2,5.24,0,0.235,1,0
37.81,2,491.7,0,14,14.19,1,0.395,1,0
20.69,6,1585.0,0,1,21.52,0,0.562,0,0
32.82,3,1198.1,0,11,3.78,0,0.541,1,0
105.3,2,168.9,1,19,9.35,0,0.115,0,0
51.03,5,558.9,0,11,20.84,0,0.453,0,0
77.23,0,235.9,1,15,15.9,1,0.179,0,0
17.15,4,255.4,0,12,94.39,0,0.133,1,0
89.44,6,607.8,0,14,43.38,0,0.0,0,0
334.46,2,172.5,0,0,211.26,1,0.65,1,1
14.14,2,60.7,0,7,13.22,1,0.398,0,0
61.87,7,510.6,0,16,40.72,1,0.264,0,0
104.93,5,846.1,0,0,40.22,0,0.18,0,0
67.66,9,1096.5,0,21,31.73,0,0.0,1,0
89.03,5,820.9,0,4,0.67,0,0.684,1,0
359.39,2,402.4,0,18,20.53,0,0.134,0,1
126.2,4,1582.8,0,2,22.25,0,0.635,0,0
23.52,0,109.7,0,2,50.44,0,0.0,0,0
109.16,7,450.6,0,3,28.72,0,0.099,0,0
177.56,4,224.1,0,10,154.1,0,0.397,1,1
126.22,6,309.5,0,1,23.25,0,0.22,0,0
192.39,1,1066.9,0,15,18.69,0,0.47,0,0
42.48,4,184.1,0,0,61.24,1,0.122,1,0
33.12,5,455.6,0,20,54.62,1,0.05,0,0
94.14,1,607.8,0,23,3.57,0,0.727,0,0
48.68,2,235.7,0,23,9.11,0,0.296,0,0
84.84,4,1246.1,0,1,49.34,0,0.146,1,0
65.7,5,658.8,0,13,55.73,0,0.716,0,0
38.0,5,3321.5,0,14,80.34,0,0.596,0,0
34.8,4,57.0,0,0,54.02,0,0.374,1,1
188.47,4,14.8,0,2,72.23,0,0.275,1,0
98.37,1,383.5,0,8,48.58,0,0.546,0,0
207.76,3,33.8,0,12,34.84,0,0.165,0,0
3.33,0,344.7,1,1,14.3,0,0.144,0,0
91.45,6,613.6,0,16,92.32,0,0.439,0,0
106.53,1,206.7,0,3,7.4,1,0.236,1,0
64.19,3,270.3,0,19,74.81,0,0.133,0,0
6.2,6,1219.3,0,5,23.34,0,0.673,1,0
158.37,2,355.7,1,8,47.24,2,0.668,0,0
6.6,1,14.9,0,15,94.19,0,0.309,1,0
11.32,6,1581.9,0,20,13.28,0,0.003,0,0
82.61,2,279.5,0,15,76.48,0,0.519,1,0
106.41,1,303.1,0,14,39.4,0,0.378,0,0
148.61,3,202.3,0,15,77.03,0,0.253,0,0
23.32,3,948.0,0,1,9.47,0,0.229,0,0
94.15,8,932.3,0,11,8.95,1,0.183,1,0
117.18,2,635.6,1,23,53.65,0,0.196,0,0
313.43,3,71.6,1,13,356.83,0,0.538,1,1
97.79,4,466.1,0,5,45.61,0,0.419,0,0
53.53,1,2269.8,0,19,8.69,0,0.156,0,0
81.23,7,608.5,0,19,42.99,0,0.566,0,0
55.05,6,410.9,0,17,34.24,0,0.06,1,0
204.55,1,99.6,0,21,263.8,1,0.625,0,1
68.3,3,705.6,0,3,14.58,1,0.381,0,0
35.54,4,355.3,0,8,46.32,0,0.497,1,0
26.25,7,186.8,0,21,79.37,0,0.274,0,0
28.43,6,1136.7,0,22,21.84,0,0.504,1,0
150.44,5,1138.1,0,20,36.76,0,0.342,0,0
77.81,6,2496.6,1,11,5.4,1,0.433,0,0
162.8,4,51.0,0,6,19.35,0,0.359,0,0
117.76,6,459.5,0,21,18.81,0,0.472,0,0
7.52,2,528.4,0,11,20.87,1,0.512,0,1
89.78,3,1080.1,0,20,22.19,1,0.307,0,0
35.76,7,11.8,0,15,30.19,0,0.363,0,0
124.7,2,531.3,0,21,15.53,0,0.572,1,0
67.91,2,242.7,0,22,13.5,0,0.0,1,0
79.61,3,565.0,0,15,24.86,0,0.487,1,0
50.98,3,184.9,1,4,6.41,0,0.287,1,0
36.93,2,786.7,0,12,6.66,0,0.371,0,0
116.37,4,90.6,0,19,12.38,1,0.274,0,0
46.6,4,269.6,0,17,6.56,0,0.009,1,0
101.77,3,895.1,0,8,10.88,1,0.327,0,0
5.9,3,1035.2,0,14,123.91,0,0.323,0,0
65.01,4,756.6,0,6,41.67,0,0.013,0,0
223.76,1,378.7,1,15,29.37,1,0.634,1,1
42.12,3,1659.2,0,23,67.49,0,0.45,1,0
71.41,4,880.1,0,9,,1,0.285,0,0
30.57,3,1945.4,0,19,9.12,0,0.006,0,0
8.26,4,1270.4,0,2,31.97,0,0.463,0,0
54.89,3,893.7,0,23,66.22,0,0.406,0,0
55.22,0,32.3,0,20,54.23,0,0.122,0,0
148.69,2,58.0,1,15,155.34,3,0.829,1,1
16.26,3,618.7,0,1,0.04,0,0.309,0,0
78.62,5,502.1,0,1,36.34,0,0.296,1,0
12.97,4,286.3,0,17,53.69,2,0.701,0,0
129.19,3,1127.8,0,16,63.18,0,0.04,0,0
55.0,5,2165.7,0,23,54.71,0,0.429,0,0
61.17,4,420.5,0,6,41.24,0,0.536,0,0
56.08,4,276.6,0,14,20.05,1,0.478,0,0
116.49,2,46.3,0,1,63.9,0,0.0,0,0
140.99,6,209.7,0,3,15.08,0,0.0,0,0
58.31,6,298.9,0,23,17.66,0,0.261,0,0
132.68,4,1167.8,1,12,37.97,0,0.27,0,0
1.58,1,357.3,0,9,10.01,0,0.138,1,1
